Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
08-Dec-23,EQ,298.9,301.3,296.8,298.9,299,299.35,299.07,335,229.05,"5,59,627","16,73,65,284.60","6,102"
07-Dec-23,EQ,300.8,301.4,298.05,300.2,298.5,298.9,299.72,335,229.05,"1,31,172","3,93,14,474.20","8,109"
06-Dec-23,EQ,302.55,303.75,298.75,301.05,300,300.2,301.01,335,229.05,"1,43,863","4,33,04,417.80","6,969"
05-Dec-23,EQ,300.9,305.3,299.5,299.35,301.65,301.05,302.16,335,229.05,"4,82,578","14,58,15,739.75","11,664"
04-Dec-23,EQ,301.35,303.8,296.1,296.9,299.05,299.35,300.41,335,229.05,"1,86,024","5,58,83,582.75","9,016"
01-Dec-23,EQ,301.65,303.6,296.25,301.6,297.65,296.9,298.75,335,229.05,"1,65,031","4,93,03,091.10","8,723"
30-Nov-23,EQ,303.45,304.4,297.35,300.9,300.2,301.6,300.62,335,229.05,"1,73,969","5,22,97,835.70","7,779"
29-Nov-23,EQ,299.65,303.05,296.05,300.55,301,300.9,299.57,335,229.05,"6,65,776","19,94,47,256.95","23,150"
28-Nov-23,EQ,289.2,302.9,288.15,287.1,300.4,300.55,297.27,335,229.05,"6,36,569","18,92,30,160.50","20,326"
24-Nov-23,EQ,288,291.25,285.15,287.15,286.4,287.1,287.22,335,229.05,"2,53,368","7,27,73,436.30","10,170"
23-Nov-23,EQ,289,289,286.25,287.6,286.3,287.15,287.52,335,229.05,"1,21,983","3,50,72,737.30","7,618"
22-Nov-23,EQ,289,290.7,287.05,289.25,287.1,287.6,288.15,335,229.05,"80,466","2,31,85,950.70","4,657"
21-Nov-23,EQ,290,294.9,287.6,291.15,288.35,289.25,289.61,335,229.05,"1,29,655","3,75,49,962.35","6,061"
20-Nov-23,EQ,291.7,292.8,288.4,291.7,291.8,291.15,290.87,335,229.05,"72,703","2,11,47,294.00","3,732"
17-Nov-23,EQ,293.9,295.55,289.5,293.3,291.5,291.7,291.75,335,229.05,"1,86,641","5,44,52,853.30","6,027"
16-Nov-23,EQ,288.9,298.4,288.9,288.55,294.1,293.3,295.2,335,229.05,"3,51,185","10,36,68,926.60","17,660"
15-Nov-23,EQ,290,292.95,287.1,290.55,289,288.55,288.82,335,229.05,"1,73,182","5,00,18,906.65","5,739"
