Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
09-May-24,EQ,394.3,407.9,391.6,393.3,398.95,397.15,398.56,449.7,104,"15,30,390","60,99,55,528.85","54,494"
08-May-24,EQ,387.5,399.2,382.4,388.5,392.9,393.3,393.85,449.7,104,"7,01,015","27,60,97,382.60","26,968"
07-May-24,EQ,401,401,378.9,400.05,391.6,388.5,389.87,449.7,104,"13,81,721","53,86,85,146.25","45,710"
06-May-24,EQ,408,408,389.1,406.1,401,400.05,396.86,449.7,104,"25,56,156","1,01,44,47,282.15","60,648"
03-May-24,EQ,414.8,415.8,403.5,411.8,407,406.1,408.31,449.7,102.75,"12,43,796","50,78,55,974.95","35,758"
02-May-24,EQ,414.85,418.4,408.3,414.1,411.9,411.8,412.84,449.7,102.75,"9,82,676","40,56,91,852.50","29,540"
30-Apr-24,EQ,414.1,421.35,412.9,411.65,414.5,414.1,415.64,449.7,102.75,"22,71,167","94,39,79,477.75","54,889"
29-Apr-24,EQ,422.8,425,409.1,419.4,412.8,411.65,415.51,449.7,102.75,"9,75,696","40,54,07,475.15","27,513"
26-Apr-24,EQ,418,421.8,415.5,417.8,420.1,419.4,419.85,449.7,100.95,"13,47,012","56,55,36,457.25","24,714"
25-Apr-24,EQ,421.75,422,414.65,421.8,418.5,417.8,417.42,449.7,100.95,"9,83,530","41,05,45,482.50","34,910"
24-Apr-24,EQ,417.6,424,413.15,414.65,422,421.8,418.74,449.7,100.95,"16,55,182","69,30,96,825.20","38,882"
23-Apr-24,EQ,405,418.65,402.7,401.7,416,414.65,411.83,449.7,100.95,"18,15,454","74,76,65,215.15","48,498"
22-Apr-24,EQ,415,415,400.15,408.55,403,401.7,404.93,449.7,100.95,"13,72,201","55,56,50,845.80","44,507"
19-Apr-24,EQ,402.3,411.95,396.8,402.15,407.4,408.55,408.46,449.7,100.95,"19,84,552","81,06,06,488.85","52,366"
18-Apr-24,EQ,417.4,422.2,400,413.25,407,402.15,409.22,449.7,100.95,"15,00,527","61,40,42,274.75","43,880"
16-Apr-24,EQ,418,427.9,410.6,418.8,414.45,413.25,416.93,449.7,100.95,"25,21,585","1,05,13,29,514.30","53,860"
15-Apr-24,EQ,419.15,437.8,410.05,427.75,420.9,418.8,423.74,449.7,100.95,"24,01,867","1,01,77,64,952.20","73,725"
12-Apr-24,EQ,415.85,430.9,414,417.95,427.5,427.75,427.19,449.7,100.95,"21,28,444","90,92,51,347.25","60,027"
10-Apr-24,EQ,425,426.35,412.7,425.7,415,417.95,418.65,449.7,100.95,"13,03,575","54,57,42,253.20","50,727"
09-Apr-24,EQ,435.65,436,421.2,433.45,424.5,425.7,429.42,449.7,100.95,"8,53,868","36,66,65,016.65","29,744"
08-Apr-24,EQ,436.05,439,431,430.5,433,433.45,433.83,449.7,100.95,"18,79,085","81,51,95,173.45","36,387"
05-Apr-24,EQ,440.05,443,428.05,430.95,429.15,430.5,432.09,449.7,100.95,"38,41,134","1,65,97,09,266.00","70,699"
04-Apr-24,EQ,434.25,434.75,422.8,428.85,429.2,430.95,429,449.7,100.95,"12,72,984","54,61,16,013.05","27,939"
