Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
06-Jun-24,EQ,652.9,678,652.9,650.1,672.2,670.9,671.17,849.5,568.3,"1,02,670","6,89,09,011.15","10,892"
05-Jun-24,EQ,656,657,636,649.85,650.05,650.1,645.3,849.5,568.3,"1,11,728","7,20,97,597.35","25,772"
04-Jun-24,EQ,664.3,670,622.4,664.3,649.55,649.85,650.25,849.5,568.3,"1,95,148","12,68,94,039.10","14,618"
03-Jun-24,EQ,660,670.95,657.35,649.35,663.05,664.3,664.5,849.5,568.3,"2,55,804","16,99,82,774.80","11,807"
31-May-24,EQ,647,655.4,646.95,652.4,651,649.35,650.05,849.5,551.65,"1,78,340","11,59,30,678.30","8,672"
30-May-24,EQ,660,664,645.6,659.5,653,652.4,654.48,849.5,551.65,"58,278","3,81,41,568.55","6,875"
29-May-24,EQ,657.85,672.6,652,656.3,660,659.5,658.95,849.5,551.65,"2,74,207","18,06,87,434.60","13,835"
28-May-24,EQ,649.65,664.95,644.7,655.55,656,656.3,655.19,849.5,551.65,"2,84,642","18,64,93,436.75","6,913"
27-May-24,EQ,653,659.45,646.8,652.85,655,655.55,654.57,849.5,551.65,"89,163","5,83,63,799.80","7,360"
24-May-24,EQ,674.85,678.8,645.5,671.75,660.45,652.85,656.23,849.5,551.65,"2,60,194","17,07,46,629.60","14,995"
23-May-24,EQ,673.95,675.7,670,668.5,674,671.75,672.27,849.5,551.65,"54,304","3,65,06,908.10","3,869"
22-May-24,EQ,670.9,675,661,667.2,670,668.5,666.92,849.5,551.65,"66,584","4,44,06,061.40","6,007"
21-May-24,EQ,679.8,679.9,662.7,677.35,667,667.2,668.27,849.5,551.65,"99,756","6,66,63,690.35","7,508"
18-May-24,EQ,682.95,685,673.4,678.8,678,677.35,678.78,849.5,551.65,"14,700","99,77,993.30","1,439"
17-May-24,EQ,677,693,673,670.95,681.95,678.8,680.43,849.5,551.65,"3,52,587","23,99,10,470.10","16,360"
16-May-24,EQ,669.95,677.5,665.3,664.9,674.35,670.95,669.98,849.5,551.65,"11,33,559","75,94,63,653.05","11,913"
15-May-24,EQ,668,671,659.75,662.9,666.75,664.9,666.23,849.5,551.65,"75,955","5,06,03,653.10","6,041"
14-May-24,EQ,664.35,666,652.8,662.4,663,662.9,660.26,849.5,551.65,"82,365","5,43,82,187.25","7,269"
13-May-24,EQ,664.9,666,656.7,663.3,660.8,662.4,661.42,849.5,551.65,"92,596","6,12,45,246.15","8,689"
10-May-24,EQ,650,672,638.8,647.75,662.5,663.3,657.64,849.5,534.75,"3,54,887","23,33,88,863.20","19,453"
09-May-24,EQ,643,651,635,645.3,648,647.75,646.25,849.5,534.75,"1,58,323","10,23,15,463.90","7,256"
08-May-24,EQ,639.95,656.8,635.6,644.5,645,645.3,645.89,849.5,534.75,"2,52,902","16,33,45,797.05","11,355"
07-May-24,EQ,651.25,656.8,640.55,648.1,645,644.5,650.77,849.5,534.75,"1,51,276","9,84,45,223.25","11,565"
06-May-24,EQ,652.5,655.45,641,652.15,650,648.1,648.92,849.5,534.75,"84,904","5,50,95,876.85","9,603"
03-May-24,EQ,663,663,648.1,658,651.8,652.15,651.16,849.5,521.1,"1,88,900","12,30,04,860.05","8,595"
02-May-24,EQ,638.35,660,633.1,637.35,659,658,646.13,849.5,521.1,"3,72,847","24,09,05,841.30","17,251"
30-Apr-24,EQ,641.5,642,635.1,638.3,638,637.35,638.68,849.5,521.1,"1,03,812","6,63,02,296.10","4,377"
29-Apr-24,EQ,638.8,644.5,636,638.9,639,638.3,638.83,849.5,521.1,"64,949","4,14,91,598.70","4,558"
26-Apr-24,EQ,642.45,644.7,636.05,636.25,638,638.9,639.65,849.5,505.75,"12,02,874","76,94,22,579.60","7,104"
25-Apr-24,EQ,645,651.4,634.1,640,637.25,636.25,641.01,849.5,505.75,"1,28,508","8,23,75,154.45","8,728"
24-Apr-24,EQ,640,646.6,638,639.65,641,640,640.04,849.5,505.75,"4,41,583","28,26,31,189.35","10,737"
23-Apr-24,EQ,644.2,646,635,639.2,639,639.65,639.48,849.5,505.75,"52,950","3,38,60,456.80","4,803"
22-Apr-24,EQ,641.6,645.8,633.1,634.65,640.2,639.2,639.66,849.5,505.75,"2,51,410","16,08,16,880.10","10,807"
19-Apr-24,EQ,637,640.35,627.3,638.65,637.7,634.65,636.4,849.5,500.1,"92,807","5,90,62,407.55","7,116"
18-Apr-24,EQ,633.45,650,633.45,633.45,638,638.65,643.77,849.5,500.1,"2,77,751","17,88,08,035.10","16,033"
16-Apr-24,EQ,635,640,631.55,639.45,633.45,633.45,635.12,849.5,500.1,"52,449","3,33,11,217.15","6,423"
